date,opponent,result
2024-04-21,hulk_Rosa,0
2024-04-21,aec99,0
2024-04-20,FDel,1
2024-04-16,Dominator0,1
2024-04-16,Luna_2718,1
2024-04-16,inquable,1
2024-04-14,Georgeskm,1
2024-04-14,Iskander1337,1
2024-04-13,ebishahverdi,1
2024-04-13,skauzer,0
2024-04-13,meowian,1
2024-04-12,Gambit6650,1
2024-04-12,the_shepster,1
2024-04-12,JBPCE94,0
2024-04-10,parrotfish42,1
2024-04-10,Serbn,1
2024-04-10,pawnstache,1
2024-04-09,sirclinton,1
2024-04-09,hello_69_69,0
2024-04-09,ceger,1
2024-04-09,Bryand101,1
2024-04-09,Lebedev_E_I,0
2024-04-09,mohosno,1
2024-04-09,QueenElisabeth5,0
2024-04-06,aseng257,1
2024-04-06,jadi1988,0
2024-04-06,vhmvdstvrk,0
2024-04-06,helcia,0
2024-04-04,mrchana,0
2024-04-03,Stefanozen80,0
2024-04-03,nparvanov,1
2024-04-03,jadi1988,0
2024-04-02,Goranche,1
2024-04-02,Ptizzachess,1
2024-04-02,DonSimon70,0
2024-04-02,alexanderschevtzov,1
2024-04-02,FL10001,1
2024-03-30,PasElViejo,1
2024-03-30,ZuhayrB,1
2024-03-28,sameon123,1
2024-03-28,Jimmy_19XX,1
2024-03-26,RomanSuckzzz,1
2024-03-26,Angel1972z,1
2024-03-25,mott2021,1
2024-03-25,mott2021,0
2024-03-25,dimondemo,1
2024-03-22,Varechess1195,1
2024-03-22,ShimmerSmile,0
2024-03-22,ferchito14,1
2024-03-22,Dinmuhammed1982,0.5
2024-03-21,Nimmermatt,1
2024-03-21,LeonidPiter,1
2024-03-20,ash1732,1
2024-03-20,Pasha1980,1
2024-03-20,Pasha1980,0
2024-03-19,elchin1986,1
2024-03-19,The_Island_of_Crimea,0
2024-03-19,ShockoJJ,0
2024-03-19,ShockoJJ,0
2024-03-18,trainwreck66,1
2024-03-18,IHeartFortnite,1
2024-03-17,tikboy101,1
2024-03-17,bigbucey,0
2024-03-17,lihaanlajith_1,0.5
2024-03-17,LassMal,0
2024-03-17,Antoliv,0
2024-03-15,Marcelopb68,1
2024-03-15,delijadelija,1
2024-03-15,memo7474,0
2024-03-15,ebramov,1
2024-03-15,spleen3007,1
2024-03-15,Mlue2021,1
2024-03-15,EC-XTE,0
2024-03-15,NolanBlunder,0
2024-03-15,AAndrzej,0
2024-03-15,TashimovSP,0
2024-03-15,AlbigyM,0
2024-03-15,SadeghShad,0
2024-03-15,Kunalopp11,0
2024-03-15,cumaginii,0
2024-03-15,nakulll,1
2024-03-15,majnoune,1
2024-03-15,Macho-Nacho,0
2024-03-15,razdvaigotovo,0.5
2024-03-15,wwvargas,1
2024-03-15,Preyin,1
2024-03-15,krimeball,1
2024-03-15,wokha,1
2024-03-15,Jan_Slovakia,1
2024-03-15,Lugansk,1
2024-03-15,Mjollnir-on-64,0
2024-03-15,MikePeekay,1
2024-03-15,MikePeekay,0
2024-03-15,MikePeekay,0
2024-03-15,MikePeekay,0
2024-03-15,Weteran77,0
2024-03-15,Lordcharles84,0
2024-03-15,godaddygo,0
2024-03-15,mindstep,0
2024-03-15,dydimella,1
2024-03-15,TeufelspaZZer,0
2024-03-15,Mephisto22,0.5
2024-03-15,Romanoff72,0
2024-03-14,Dario_the_Great,1
2024-03-14,Jojomadkip,1
2024-03-13,Drunk_Beard,1
2024-03-13,gibco,0
2024-03-13,KeyserSozeFatality,1
2024-03-13,alt423,0
2024-03-13,Matallain,1
2024-03-13,Keks-android,0
2024-03-13,subasankarv,1
2024-03-13,Johnnybvb,0.5
2024-03-13,frenchpower,0
2024-03-12,Alexander_A_P,1
2024-03-12,ashokvsaste,0
2024-03-12,IvanovaVera,1
2024-03-11,emleml56,1
2024-03-11,ghazal_mh98,0
2024-03-11,Sheroms,0
2024-03-11,Mfemjames,0
2024-03-11,WheresMyKomi,1
2024-03-10,S_Didukh,0
2024-03-10,Novelloplatone,0
2024-03-10,Novelloplatone,0
2024-03-10,Psychologiz,0
2024-03-10,drerkan,0
2024-03-09,Oldjohn,1
2024-03-09,CurseofKirsan,1
2024-03-08,JMCasablanca,1
2024-03-08,N8STL,1
2024-03-08,Lihp8270,0
2024-03-08,zocazoca,0
2024-03-08,Yoyo1313,0
2024-03-08,aslah78,0
2024-03-08,Ayrtonsennablanca,0
2024-03-08,Premasisb,0
2024-03-08,Jschwei1,1
2024-03-08,valdoca,0
2024-03-08,ramezanian,1
2024-03-08,ZwockMaxiJocki,1
2024-03-08,wabkar123,0
2024-03-08,Cerkuz,0.5
2024-03-05,aghajoon1954,0
2024-03-05,aghajoon1954,0
2024-03-05,Harveyo1,1
2024-03-03,Visshnu,1
2024-03-03,Tarnokp,1
2024-03-03,Intos83,0
2024-02-29,juancho_dragon2,1
2024-02-29,Lay0727,0
2024-02-29,Teattwo,0
2024-02-29,Shoaibwahidy111,0
2024-02-29,Shoaibwahidy111,0
2024-02-29,sergio1513,0
2024-02-29,jrpes,1
2024-02-28,jpx888,1
2024-02-28,miled50,0.5
2024-02-28,Saltison,0
2024-02-27,joselumoma,1
2024-02-27,Muttaz,1
2024-02-23,aristo300,1
2024-02-23,Korea88,0
2024-02-23,REZAO,0
2024-02-22,abhi123dhiman,1
2024-02-22,Chukwuyem,1
2024-02-21,rudishslava,1
2024-02-21,kamil1026,0
2024-02-21,sicilianhomme,0
2024-02-21,Luckyfish888,0
2024-02-21,mahmoud12_10s,1
2024-02-21,Altachiara,1
2024-02-21,logman10,1
2024-02-20,TAT_71,1
2024-02-20,PasuevMaksim,0.5
2024-02-20,Clemolive,0
2024-02-20,Clemolive,0
2024-02-20,Clemolive,0
2024-02-20,kovylinr,1
2024-02-20,Ayhan89_2222,1
2024-02-20,Agnaldo29,0
2024-02-20,dhananjay7,0
2024-02-20,Hype09,0
2024-02-20,amarzaiter,0
2024-02-20,Intos83,0
2024-02-20,sebastian53,1
2024-02-19,brainxart,1
2024-02-19,celeusta,0.5
2024-02-19,ArtieC,1
2024-02-19,DoktorSzachMat,0
2024-02-19,Abdullahs1,1
2024-02-18,Ayhan89_2222,1
2024-02-14,Onii-chan56,1
2024-02-14,Aziz654321,0
2024-02-14,sergio1513,0.5
2024-02-14,sergio1513,0
2024-02-14,jgodddd,1
2024-02-14,DefektZreniya,0
2024-02-14,tohabanderas,0
2024-02-14,bahadour_shah,0
2024-02-14,bahadour_shah,0
2024-02-14,bahadour_shah,1
2024-02-14,bahadour_shah,0
2024-02-14,chuomcy,0
2024-02-14,karamikenno,0
2024-02-14,cihangir1905,0
2024-02-14,Ivanzhuk1973,0
2024-02-13,Evelyn87,1
2024-02-13,rosebud64,0
2024-02-13,hjag222627,0
2024-02-13,HansChabis,0.5
2024-02-13,rfurlanetto,1
2024-02-13,PLB21188,0.5
2024-02-13,prime66,0
2024-02-13,prime66,1
2024-02-13,Orpheus0607,0
2024-02-13,DanilaBagrov2,0
2024-02-13,pladdenico,1
2024-02-13,filiperafaeli,0
2024-02-13,hisham3sayed,0
2024-02-13,carlo1957,0
2024-02-13,Vld608,0
2024-02-13,Vardugin,0.5
2024-02-13,Alex_th,0
2024-02-13,vvdzhirg,0
2024-02-13,Karlo2110,1
2024-02-13,myseost,0
2024-02-12,nssir,0
2024-02-12,lfs000,0
2024-02-12,lellobosio,1
2024-02-12,Sergeipatrushev,0
2024-02-12,aparacha,0
2024-02-12,Paperoga3,1
2024-02-12,pmodell78,0
2024-02-12,Pepone69,0
2024-02-12,Pepone69,1
2024-02-12,TomToxBox,0
2024-02-12,rucco,0
2024-02-12,damrea,0
2024-02-12,Abdoboulek,1
2024-02-12,prosachin,0
2024-02-12,prosachin,0
2024-02-12,wabkar123,0
2024-02-12,piszner,1
2024-02-12,demuohca,1
2024-02-12,isomehowlost,0
2024-02-12,Santos_IO,1
2024-02-11,skywalker013,0
2024-02-11,piedefelice,0
2024-02-11,strelec21,1
2024-02-11,Temarpa,1
2024-02-11,GeshaPB,0
2024-02-11,GeshaPB,0.5
2024-02-11,hkutayngr,1
2024-02-11,hkutayngr,0
2024-02-11,hkutayngr,1
2024-02-11,Fzt_Punhan,1
2024-02-11,Fzt_Punhan,0
2024-02-10,elviejitomalo,1
2024-02-10,BelovSA,1
2024-02-10,BelovSA,0
2024-02-10,Nathaw,1
2024-02-09,mohit1988,1
2024-02-09,Abosamir,1
2024-02-09,z750r,1
2024-02-09,Pordemara123,1
2024-02-09,daniluvas,0
2024-02-09,daniluvas,0
2024-02-09,daniluvas,0
2024-02-09,daniluvas,0
2024-02-09,OCHUI500,1
2024-02-09,elguia,0
2024-02-09,God_Alex,0
2024-02-09,Linawers,1
2024-02-08,manni_66,1
2024-02-08,manni_66,0
2024-02-08,Noble10,0
2024-02-08,Artem3891,1
2024-02-08,jeff1919,1
2024-02-08,poortony,0
2024-02-07,psvsb,1
2024-02-07,psvsb,0
2024-02-07,psvsb,0
2024-02-07,psvsb,0
2024-02-07,sguanz10,0
2024-02-07,NastyaKuzmina,0
2024-02-07,redstar330,0
2024-02-07,manni_66,1
2024-02-07,manni_66,0
2024-02-07,Ojobuho,1
2024-02-07,juanf1974,0
2024-02-07,Sanjeeev,0
2024-02-07,SavasUyar,0
2024-02-06,cotofmann,1
2024-02-06,Sarky87,1
2024-02-06,AntoNoiu,0
2024-02-05,cianobest,1
2024-02-05,NikolaNikolai23,0
2024-02-05,paobea4,0.5
2024-02-05,chessecky,1
2024-02-05,kingofbandit,1
2024-02-05,brackattack1109,1
2024-02-05,archer1x,0.5
2024-02-04,water4,1
2024-02-04,al198,0
2024-02-04,Newmap,1
2024-02-03,ErvinKann,0
2024-02-03,ErvinKann,0
2024-02-03,IonU,1
2024-02-03,best_guitar,0.5
2024-02-03,ms795,0
2024-02-02,hard_laxative,1
2024-02-02,Cuenca116,1
2024-02-02,Cuenca116,0
2024-02-01,alrofegui,1
2024-02-01,ovie_bobo,0
2024-02-01,ivtoskov,0.5
2024-02-01,kakke126,0
2024-02-01,Bashir2023,1
2024-01-31,Cristalchene,0
2024-01-31,a_fake_guy,1
2024-01-31,a_fake_guy,0
2024-01-31,iltis7,1
2024-01-31,DHANANJAYTANNA,0
2024-01-31,maurodesign,1
2024-01-30,CIRCOOLYARKA,0.5
2024-01-30,Ramiros001,0
2024-01-30,stasmakarov,1
2024-01-30,Jacobbqq,0
2024-01-30,leonid28kim,0
2024-01-30,BNenad,1
2024-01-30,nghandian,0
2024-01-30,Mera_Juampi,0
2024-01-30,Mera_Juampi,0
2024-01-28,Fonseca30,1
2024-01-28,haifahana,0
2024-01-28,tedpp,0
2024-01-28,BifPlaysChess,1
2024-01-28,stev35,1
2024-01-28,jakecollopy5269,0
2024-01-28,Shidoop95,0
2024-01-28,soledaderic,0
2024-01-28,AAAka,1
2024-01-28,BabblerBite,1
2024-01-28,Braboke,0
2024-01-28,Premasisb,1
2024-01-28,stat-rosa-pristina-n,0
2024-01-26,DerWahreFuchs,1
2024-01-26,Derotsky,1
2024-01-25,dontcare22,1
2024-01-25,Zurpi,1
2024-01-25,muratkeskin,1
2024-01-25,deo83,1
2024-01-25,Raven-1,1
2024-01-23,Fahrschule,1
2024-01-23,jirani,1
2024-01-23,morfhi,0
2024-01-23,Afrikaaa,0
2024-01-23,Afrikaaa,0
2024-01-23,dimachyrva,0.5
2024-01-23,Camil56,0
2024-01-23,Korayeren,0
2024-01-23,VAAIVL535,0
2024-01-23,VAAIVL535,1
2024-01-23,nikhilshirke,1
2024-01-23,xxx123robert,0
2024-01-22,poludnig,1
2024-01-22,poludnig,0
2024-01-22,WinnieTP,0
2024-01-22,cierco2,1
2024-01-22,Niite-iyano,0
2024-01-22,kenncat,1
2024-01-21,DriveLikeRory,1
2024-01-21,BhanuPratap21,0
2024-01-21,s_romanov,1
2024-01-21,riskypawn007,0
2024-01-21,anasstef94,0.5
2024-01-21,riskypawn007,1
2024-01-20,jcotton648,0
2024-01-20,Syarifjgkrs,1
2024-01-20,Kblrgblz,1
2024-01-20,Jimmy_gummy,1
2024-01-20,KingValera,0
2024-01-20,IamHighSry,1
2024-01-20,rajesh_9845,0.5
2024-01-19,AsitJoshi,1
2024-01-19,bad_strategy,1
2024-01-19,pavan_m,1
2024-01-19,YodaEar,0
2024-01-19,Noble10,1
2024-01-07,seb2000,1
2024-01-07,schoffhy68,1
2024-01-07,Ahmedalhazeem,0
2024-01-07,Alabro,0
2024-01-07,Clleite,0
2024-01-07,L0378,0
2024-01-02,Swimming_Elephant,1
2024-01-02,Swimming_Elephant,0
2023-12-29,cicalese,1
2023-12-29,Damied,0
2023-12-29,grandmasternsour,0
2023-12-29,chessmath22,0
2023-12-29,AceCalzone,1
2023-12-28,jvdge,1
2023-12-27,raulgauri,0
2023-12-27,AliSmn,0
2023-12-27,AliSmn,0
2023-12-27,AliSmn,0
2023-12-27,thequota,1
2023-12-27,dimsem8,0
2023-12-27,Rapidpt,1
2023-12-20,EveOnlineMan,1
2023-12-20,sedof,1
2023-12-19,Onl_gamer,1
2023-12-14,Lausig,1
2023-12-13,vitasvir,1
2023-12-13,anypainting,0.5
2023-12-13,hamid3344,1
2023-12-10,mohsenhj,0.5
2023-12-10,mohsenhj,0
2023-12-10,mohsenhj,0
2023-12-10,arttime,0
2023-12-10,Blonda1,0
2023-12-10,Vaneussa,0
2023-12-10,Vaneussa,0
2023-12-10,Vaneussa,0
2023-12-10,vilaboa,0
2023-12-10,trejdych,0
2023-12-10,Stexupery,1
2023-12-10,ossalmanapr,0
2023-12-06,PieroGnani,1
2023-12-05,Billzdante,1
2023-12-05,wrgnstjn,1
2023-12-05,wrgnstjn,0
2023-12-02,Ente66_the_Paranoid,1
2023-11-28,courage-63,1
2023-11-27,SeenSomeGambitVideos,1
2023-11-27,Fruityloops-florian,1
2023-11-26,Pedro_Garrido,1
2023-11-26,Pedro_Garrido,0
2023-11-26,pva1976,0
2023-11-26,FORENSIK2020,1
2023-11-26,chesswar247,0
2023-11-26,Gianpy1971,0
2023-11-23,kek_chpek,1
2023-11-23,tantakelly7,0.5
2023-11-23,tantakelly7,0
2023-11-22,Jose_angel_dem,1
2023-11-21,ayilmaz61,1
2023-11-21,viyezgo,0
2023-11-21,Fadiwardeh,1
2023-11-20,jamal1959m,1
2023-11-19,Vikek,1
2023-11-19,egdiesp,0
2023-11-19,Andrea_cute,0.5
2023-11-19,bennymcfreewin,0
2023-11-18,palitochino27,0
2023-11-18,petriukas,0
2023-11-17,RSorokin2023,1
2023-11-16,chessallix,1
2023-11-15,stevemcc,1
2023-11-15,Viktor0008,0
2023-11-15,danoskela_82,0
2023-11-15,cessatchess,0
2023-11-14,Princeps_Maxima,1
2023-11-14,EpicBlunderer69,0
2023-11-12,a2018alex,1
2023-11-10,SergioJimenezKr,0
2023-11-10,Muzilla,0
2023-11-08,Azizbek007,1
2023-11-08,osm_2710tr,0
2023-11-07,peregon,0
2023-11-07,peregon,0
2023-11-07,Ma_be,0
2023-11-07,s8888k,0
2023-11-07,cedric120,1
2023-11-06,eddi1996,1
2023-11-05,portal2anti,1
2023-11-05,eugdan,1
2023-11-05,angelito818,0.5
2023-11-05,uratul,1
2023-11-05,StojanS,0
2023-11-05,EvgeniBSV,1
2023-11-05,Aleksandr_Starlight,0
2023-11-05,rezende4000,1
2023-11-03,daemon785,1
2023-11-03,hussein_ismail,1
2023-11-02,zeemax13,0.5
2023-11-02,mihelini123,1
2023-11-02,Kiksing,1
2023-11-02,Kiksing,0
2023-11-02,Kiksing,0
2023-11-02,tmazur,0
2023-11-01,teo123,0
2023-11-01,Burnny12,0
2023-11-01,Lomov15,0
2023-11-01,E_Alexeev,0
2023-11-01,er_bory,1
2023-10-31,sc4tt3r,1
2023-10-30,Wed_med,1
2023-10-30,AndyCole,0
2023-10-29,degullegokker2259,1
2023-10-29,Rawad-AR,0
2023-10-29,Rawad-AR,0
2023-10-29,patbu,0
2023-10-29,Gfr51,0
2023-10-27,keiver349,1
2023-10-27,sonobond99,1
2023-10-27,keksic1,0
2023-10-26,Lucreciobg,1
2023-10-26,yuli_yy,1
2023-10-26,yuli_yy,0
2023-10-26,ufufanama,1
2023-10-26,Caslyndelizon,0
2023-10-26,Rauf007,1
2023-10-25,BB28,1
2023-10-25,arudireddy,0
2023-10-25,husseingalil,1
2023-10-25,esjay_in,1
2023-10-25,esjay_in,0
2023-10-25,chessmath22,0
2023-10-25,Zadnik,0
2023-10-24,O2gur,1
2023-10-24,andrgo,0
2023-10-24,Acelocks,0
2023-10-24,Semenbigchessboss,1
2023-10-24,Greg_254,1
2023-10-24,tiano83,0
2023-10-23,MirkaZero,1
2023-10-23,Lee-On,1
2023-10-23,dadawidada480,0
2023-10-23,janholtz,1
2023-10-23,ilovechess244,0
2023-10-22,Dmitri8,1
2023-10-22,RamkumarRam,1
2023-10-21,skyhook65,1
2023-10-20,satelit,1
2023-10-20,Ritesh1191,1
2023-10-20,islag,1
2023-10-20,gsfilox,0.5
2023-10-20,gsfilox,0
2023-10-20,Andreas-Hoppe,0
2023-10-20,RookieK,0
2023-10-20,Mannixcannon,0
2023-10-19,pb559,0
2023-10-19,sajad5140,1
2023-10-19,Rabenfeder70,1
2023-10-19,etassini,1
2023-10-19,Gt31978,1
2023-10-19,murdjo,1
2023-10-19,salahayman22,1
2023-10-19,xfeelix,1
2023-10-19,mrtav-ladan,0
2023-10-18,GT7792,1
2023-10-18,prateek_prakash,0
2023-10-18,mrtav-ladan,0
2023-10-18,mrtav-ladan,0
2023-10-18,Vishalsingh_221B,1
2023-10-17,Maejin,1
2023-10-17,Jasonpaulsen79,0.5
2023-10-17,Duuurrr,0
2023-10-17,Dmitry178,1
2023-10-17,somozak,1
2023-10-17,aov1951,0
2023-10-17,a_ebrahimi30,0
2023-10-17,a_ebrahimi30,0
2023-10-17,jhonpapirico,0
2023-10-16,pitsionoros,1
2023-10-16,Vulele,0
2023-10-16,ManojJacob,0
2023-10-16,Lybitel200,0
2023-10-16,dencoc,0
2023-10-16,Rarelyadraw,0
2023-10-16,tjckso,0
2023-10-16,GuyGrey,1
2023-10-16,murtada-media,0
2023-10-15,izzetgeneci321,1
2023-10-15,planbost,1
2023-10-14,kristijand,1
2023-10-14,TemplarRico,0
2023-10-14,TemplarRico,0
2023-10-14,Lanfear_797,0
2023-10-14,gonnaWin123,0
2023-10-14,grapes97223,0
2023-10-14,ivanmihov,1
2023-10-14,Gg1b,0
2023-10-14,sumer777,0
2023-10-14,Alokx210,1
2023-10-14,Sherlock00,0
2023-10-14,remo06,0
2023-10-14,SAMOILA,0
2023-10-14,n_athan,1
2023-10-14,josegomez1974,0
2023-10-14,ilyinsky,0
2023-10-14,srdjangrujic,1
2023-10-14,sidvallschack,0
2023-10-14,Undisputed11,1
2023-10-14,Stoicstrom,0.5
2023-10-14,WhySir,1
2023-10-13,Rudolf_Pfuelb,1
2023-10-13,ftawk,0
2023-10-13,tomoles,0
2023-10-13,c1ue1355,0
2023-10-13,naive0912,1
2023-10-13,Yukiosway,0
2023-10-13,Cidragon,0
2023-10-13,mike1164,1
2023-10-13,mike1164,0
2023-10-13,midman66,0
2023-10-12,Irencjusz,1
2023-10-12,HayBarS1903,1
2023-10-12,ba2nde,1
2023-10-12,ba2nde,0
2023-10-12,Schach_Martin_53,1
2023-10-11,amazing_apa,1
2023-10-11,amazing_apa,0
2023-10-11,Steinschotter,0
2023-10-11,Steinschotter,0
2023-10-11,Swayingbollock,0
2023-10-11,happychessblunderer,1
2023-10-11,Unknown-Name,0
2023-10-11,DANSANDROV,1
2023-10-10,fred67,1
2023-10-09,Zaldy01,1
2023-10-09,Conflict82,0
2023-10-09,petrokamin,1
2023-10-09,Panchotrujillo,0
2023-10-09,MichaelCorleoneBG,0
2023-10-09,Dr33ww,1
2023-10-09,newagerage,0
2023-10-08,Gregattac,1
2023-10-08,sid_dis,1
2023-10-08,RAM1836,1
2023-10-08,RAM1836,0
2023-10-08,elfresco,0.5
2023-10-08,Al_Yaquv,0
2023-10-07,dafunmaker,1
2023-10-07,dardo2,0
2023-10-07,Bahti,1
2023-10-07,Antonio158,0.5
2023-10-07,microsw,0
2023-10-07,TomToxBox,0
2023-10-07,AdemMansouri2009,0
2023-10-07,Kancil80,1
2023-10-07,M_30toff,0
2023-10-07,lctrs,0
2023-10-06,Macho-Nacho,0.5
2023-10-06,Macho-Nacho,0
2023-10-06,WantToLose,0
2023-10-06,Vik93,1
2023-10-05,RichShyYear,1
2023-10-05,Mikhail_85_edc,0
2023-10-05,Mikhail_85_edc,0
2023-10-05,Mikhail_85_edc,0
2023-10-05,DzikiDzen,0
2023-10-05,Weddan,1
2023-10-05,rheyhoundz,0
2023-10-04,Natali217,0
2023-10-04,zumake,0
2023-10-04,Everyones_a_cheetah,1
2023-10-04,playforfunxdxdxd,1
2023-10-04,ghost,0
2023-10-04,karatay72,1
2023-10-03,wbcurry,0
2023-10-03,Jamigda,1
2023-10-03,Chessmasterblr,1
2023-10-02,Booyakahshaaa,1
2023-10-02,Falco73,1
2023-10-02,Theknigh,0
2023-10-01,aytac60,1
2023-10-01,Prostik1988,0
2023-09-30,Inquisitor_Frid,1
2023-09-30,ERIFIRE,0
2023-09-30,HarryPotterOF,1
2023-09-30,TheSamSam,1
2023-09-26,SashaVerschitel,1
2023-09-26,kurosh1394,0
2023-09-26,kurosh1394,0
2023-09-26,Victor-ie2020,1
2023-09-26,bobby46ub,1
2023-09-26,durgasidr,1
2023-09-26,Borrenbauchi,0
2023-09-25,shaikshakirbasha,1
2023-09-25,asmkf,1
2023-09-25,cosmicenergy,0
2023-09-25,cerebhro,0
2023-09-22,ammar07555,1
2023-09-22,mmmm4444,0
2023-09-22,hzlbrn0708,1
2023-09-22,fleckes,0
2023-09-22,alman1978,0
2023-09-22,Kriks74,0
2023-09-22,jimmytheneutrino,0
2023-09-22,fulyatokgoz,0
2023-09-22,coxorg,1
2023-09-22,coxorg,0
2023-09-21,Aloysius23,1
2023-09-21,Begsluck,1
2023-09-21,Begsluck,0
2023-09-21,RaviSarraf21,1
2023-09-21,RaviSarraf21,0
2023-09-19,Dhruv_Deshpande0108,1
2023-09-18,levorator,1
2023-09-18,lorezecchin,1
2023-09-18,MRSEQofficial,1
2023-09-18,Cheicknilou,1
2023-09-18,Art689,0
2023-09-16,RumLovingPyrat,1
2023-09-16,wackyabhi,1
2023-09-16,ludonix,1
2023-09-14,Serg65vrhr22,0
2023-09-14,kurosh1394,0
2023-09-14,plbrasil,1
2023-09-13,AngelFargo,1
2023-09-13,AngelFargo,0
